Date,Datetime,Hour,Baseline_Temp,Baseline_AC,Optimized_Temp,Optimized_AC
2026-06-26,2026-06-26 18:25:00,18,23.43023680618382,1,23.839098828313873,1
2026-06-26,2026-06-26 18:30:00,18,23.420770349934465,1,23.8299778349977,1
2026-06-26,2026-06-26 18:35:00,18,23.410580304473406,1,23.81978778953664,1
2026-06-26,2026-06-26 18:40:00,18,23.399563298582798,1,23.808770783646032,1
2026-06-26,2026-06-26 18:45:00,18,23.387461269296473,1,23.79974616358988,1
2026-06-26,2026-06-26 18:50:00,18,23.375605681001907,1,23.79046459163539,1
2026-06-26,2026-06-26 18:55:00,18,23.361388713143533,1,23.77459741051309,1
2026-06-26,2026-06-26 19:00:00,19,23.350452613107628,1,23.759905180362985,1
2026-06-26,2026-06-26 19:05:00,19,23.339630210794276,1,23.745996964564547,1
2026-06-26,2026-06-26 19:10:00,19,23.331202867463,1,23.73448380961083,1
2026-06-26,2026-06-26 19:15:00,19,23.324751918226248,1,23.707279169401154,1
2026-06-26,2026-06-26 19:20:00,19,23.314878637924558,1,23.678744010096416,1
2026-06-26,2026-06-26 19:25:00,19,23.303911864779657,1,23.64980155549012,1
2026-06-26,2026-06-26 19:30:00,19,23.293945791221923,1,23.623711645072326,1
2026-06-26,2026-06-26 19:35:00,19,23.286315904486692,1,23.60982051066123,1
2026-06-26,2026-06-26 19:40:00,19,23.287135383485584,1,23.60873162972741,1
2026-06-26,2026-06-26 19:45:00,19,23.26027572750929,1,23.58118714432232,1
2026-06-26,2026-06-26 19:50:00,19,23.20438953339937,1,23.525556687666104,1
2026-06-26,2026-06-26 19:55:00,19,23.157516299186973,1,23.47927388588898,1
2026-06-26,2026-06-26 20:00:00,20,23.116633145509986,1,23.438981164647267,1
2026-06-27,2026-06-27 08:05:00,8,29.705291833579544,1,29.705291833579544,1
2026-06-27,2026-06-27 08:10:00,8,29.651269387304787,1,29.651269387304787,1
2026-06-27,2026-06-27 08:15:00,8,29.584944870173935,1,29.584944870173935,1
2026-06-27,2026-06-27 08:20:00,8,29.477785382270817,1,29.477785382270817,1
2026-06-27,2026-06-27 08:25:00,8,29.14244580626488,1,29.14244580626488,1
2026-06-27,2026-06-27 08:30:00,8,28.65927651882172,1,28.65927651882172,1
2026-06-27,2026-06-27 08:35:00,8,28.131120059490208,1,28.131120059490208,1
2026-06-27,2026-06-27 08:40:00,8,27.63851046919823,1,27.63851046919823,1
2026-06-27,2026-06-27 08:45:00,8,27.21782333016396,1,27.21782333016396,1
2026-06-27,2026-06-27 08:50:00,8,26.87172493696213,1,26.87172493696213,1
2026-06-27,2026-06-27 08:55:00,8,26.583779487609867,1,26.583779487609867,1
2026-06-27,2026-06-27 09:00:00,9,26.382325339913372,1,26.382325339913372,1
2026-06-27,2026-06-27 09:05:00,9,26.161313835382465,1,26.161313835382465,1
2026-06-27,2026-06-27 09:10:00,9,25.95114502668381,1,25.95114502668381,1
2026-06-27,2026-06-27 09:15:00,9,25.743302035927776,1,25.743302035927776,1
2026-06-27,2026-06-27 09:20:00,9,25.542703036069874,1,25.542703036069874,1
2026-06-27,2026-06-27 09:25:00,9,25.35882430136204,1,25.35882430136204,1
2026-06-27,2026-06-27 09:30:00,9,25.15670341610909,1,25.15670341610909,1
2026-06-27,2026-06-27 09:35:00,9,24.934626865983013,1,24.934626865983013,1
2026-06-27,2026-06-27 09:40:00,9,24.711867291331295,1,24.711867291331295,1
2026-06-27,2026-06-27 09:45:00,9,24.502895120382313,1,24.502895120382313,1
2026-06-27,2026-06-27 09:50:00,9,24.295754704475407,1,24.295754704475407,1
2026-06-27,2026-06-27 09:55:00,9,24.11525406301022,1,24.11525406301022,1
2026-06-27,2026-06-27 10:00:00,10,23.922994110584263,1,23.922994110584263,1
2026-06-27,2026-06-27 10:05:00,10,23.730433989167217,1,23.730433989167217,1
2026-06-27,2026-06-27 10:10:00,10,23.53005110085011,1,23.53005110085011,1
2026-06-27,2026-06-27 10:15:00,10,23.342802900671963,1,23.342802900671963,1
2026-06-27,2026-06-27 10:20:00,10,23.157043967247013,1,23.157043967247013,1
2026-06-27,2026-06-27 10:25:00,10,22.952809247970585,1,22.952809247970585,1
2026-06-27,2026-06-27 10:30:00,10,22.7588045334816,1,22.7588045334816,1
2026-06-27,2026-06-27 10:35:00,10,22.554180744886402,1,22.554180744886402,1
2026-06-27,2026-06-27 10:40:00,10,22.35655947387219,1,22.35655947387219,1
2026-06-27,2026-06-27 10:45:00,10,22.14324285447598,1,22.14324285447598,1
2026-06-27,2026-06-27 10:50:00,10,21.941699940562252,1,21.941699940562252,1
2026-06-27,2026-06-27 10:55:00,10,21.740793589353565,1,21.740793589353565,1
2026-06-27,2026-06-27 11:00:00,11,21.53700326740742,1,21.53700326740742,1
2026-06-27,2026-06-27 11:05:00,11,21.337926644682888,1,21.337926644682888,1
2026-06-27,2026-06-27 11:10:00,11,21.129614833593372,1,21.129614833593372,1
2026-06-27,2026-06-27 11:15:00,11,20.933839324712757,1,20.933839324712757,1
2026-06-27,2026-06-27 11:20:00,11,20.731578279137615,1,20.900299634635452,0
2026-06-27,2026-06-27 11:25:00,11,20.54308517634869,1,21.020193185508255,0
2026-06-27,2026-06-27 11:30:00,11,20.342445093989376,1,21.114658009111885,0
2026-06-27,2026-06-27 11:35:00,11,20.1512620484829,1,21.20991134256125,0
2026-06-27,2026-06-27 11:40:00,11,19.944977406263355,1,21.305674973726276,0
2026-06-27,2026-06-27 11:45:00,11,19.750708136558536,1,21.399020086824898,0
2026-06-27,2026-06-27 11:50:00,11,19.54294850289822,1,21.490428346991543,0
2026-06-27,2026-06-27 11:55:00,11,19.372111383676533,1,21.58891145497561,0
2026-06-27,2026-06-27 12:00:00,12,19.2304912096262,1,21.679089795649055,0
2026-06-27,2026-06-27 12:05:00,12,19.09225727975369,1,21.745368983447555,0
2026-06-27,2026-06-27 12:10:00,12,18.982092540562157,1,21.84631396442652,0
2026-06-27,2026-06-27 12:15:00,12,18.895357686877254,1,21.92938354223967,0
2026-06-27,2026-06-27 12:20:00,12,18.978323291838173,1,22.022819723784927,0
2026-06-27,2026-06-27 12:25:00,12,19.034139763414863,1,22.114123564064506,0
2026-06-27,2026-06-27 12:30:00,12,19.065797164887194,1,22.20566322267056,0
2026-06-27,2026-06-27 12:35:00,12,19.109062269181017,1,22.294882882237438,0
2026-06-27,2026-06-27 12:40:00,12,19.145567498952154,1,22.381060603857044,0
2026-06-27,2026-06-27 12:45:00,12,19.18869446948171,1,22.464912023246292,0
2026-06-27,2026-06-27 12:50:00,12,19.214970763623718,1,22.549495573937897,0
2026-06-27,2026-06-27 12:55:00,12,19.248069736957554,1,22.632531206905846,0
2026-06-27,2026-06-27 13:00:00,13,19.265050569400195,1,22.78241103500128,0
2026-06-27,2026-06-27 13:05:00,13,19.276454366594557,1,22.947822626531128,0
2026-06-27,2026-06-27 13:10:00,13,19.289924965091053,1,23.121805723607544,0
2026-06-27,2026-06-27 13:15:00,13,19.29598233321682,1,23.282537128627304,0
2026-06-27,2026-06-27 13:20:00,13,19.302440689262006,1,23.43544512599707,0
2026-06-27,2026-06-27 13:25:00,13,19.31226718736813,1,23.580194901525978,0
2026-06-27,2026-06-27 13:30:00,13,19.321686419975016,1,23.72501363962889,0
2026-06-27,2026-06-27 13:35:00,13,19.329997608754788,1,23.8698096087575,0
2026-06-27,2026-06-27 13:40:00,13,19.33833170248196,1,24.012523870766167,0
2026-06-27,2026-06-27 13:45:00,13,19.342013043435294,1,24.15371395260096,0
2026-06-27,2026-06-27 13:50:00,13,19.34395373085514,1,24.28728520482779,0
2026-06-27,2026-06-27 13:55:00,13,19.347919809017334,1,24.42377216726542,0
2026-06-27,2026-06-27 14:00:00,14,19.346097277095545,1,24.557305838763718,0
2026-06-27,2026-06-27 14:05:00,14,19.35070525397547,1,24.609329260736708,1
2026-06-27,2026-06-27 14:10:00,14,19.356615089895207,1,24.593706932701174,1
2026-06-27,2026-06-27 14:15:00,14,19.366268566893417,1,24.572305687554184,1
2026-06-27,2026-06-27 14:20:00,14,19.377369414167482,1,24.551189373098318,1
2026-06-27,2026-06-27 14:25:00,14,19.388032038779933,1,24.536993861049417,1
2026-06-27,2026-06-27 14:30:00,14,19.399331316435713,1,24.517640217989687,1
2026-06-27,2026-06-27 14:35:00,14,19.410630594091494,1,24.498286574929956,1
2026-06-27,2026-06-27 14:40:00,14,19.424150359900672,1,24.484323572218422,1
2026-06-27,2026-06-27 14:45:00,14,19.437044627116997,1,24.462710505202416,1
2026-06-27,2026-06-27 14:50:00,14,19.450468967752535,1,24.442311592251066,1
